pl_name,hostname,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,disc_year,discoverymethod,disc_facility
"Kepler-846 b","Kepler-846",1127.12000000,19.80792185000,2.48000000,,,,,5579.00,0.910000,0.940000,2016,"Transit","Kepler"
"Kepler-146 c","Kepler-146",716.79700000,76.73217100000,3.13000000,,,,,5948.00,1.208000,,2014,"Transit","Kepler"
"Kepler-1650 b","Kepler-1650",134.39700000,1.53818001000,0.96000000,,,0.010000,,3410.00,0.334000,0.326000,2017,"Transit","Kepler"
"HD 290327 b","HD 290327",56.43300000,2443.00000000000,,772.32690000,,0.080000,,5505.00,0.950000,0.840000,2009,"Radial Velocity","La Silla Observatory"
"Kepler-336 d","Kepler-336",768.86000000,20.67877200000,2.37000000,,,,,5867.00,1.304000,,2014,"Transit","Kepler"
"Kepler-1258 b","Kepler-1258",717.55500000,0.98494016700,0.86000000,,,,,5839.00,0.990000,0.990000,2016,"Transit","Kepler"
"EPIC 206032309 b","EPIC 206032309",161.36500000,2.87814000000,1.01000000,,,,,,,0.221000,2019,"Transit","K2"
"HD 34445 e","HD 34445",46.09070000,49.17500000000,,16.80000000,,0.090000,,5836.00,1.380000,1.070000,2017,"Radial Velocity","Multiple Observatories"
"Kepler-326 b","Kepler-326",487.67500000,2.24832900000,1.52000000,,,,,5105.00,0.801000,,2014,"Transit","Kepler"
"Kepler-489 b","Kepler-489",369.64500000,17.27629611900,7.72000000,,,,,5014.00,0.760000,0.820000,2016,"Transit","Kepler"
"Kepler-1338 b","Kepler-1338",753.26000000,0.93511805700,0.92000000,,,,,5909.00,1.050000,1.040000,2016,"Transit","Kepler"
"K2-352 d","K2-352",176.05100000,14.87138700000,2.23000000,,727.00,,,5791.00,0.950000,0.980000,2021,"Transit","K2"
"HD 208897 b","HD 208897",67.48720000,358.27000000000,,379.48711796,,0.020000,,4860.00,4.980000,1.250000,2017,"Radial Velocity","Multiple Observatories"
"G 192-15 c","G 192-15",9.53114000,1219.00000000000,,14.30000000,55.90,0.676000,,,,0.132000,2025,"Radial Velocity","Calar Alto Observatory"
"G 196-3 b","G 196-3",21.79120000,,,8263.53858200,1670.00,,,,,,2024,"Imaging","European Space Agency (ESA) Gaia Satellite"
"HD 13189 b","HD 13189",497.82300000,471.60001000000,,3480.23850000,,0.270000,,4175.00,38.410000,2.240000,2005,"Radial Velocity","Thueringer Landessternwarte Tautenburg"
"Kepler-1408 b","Kepler-1408",535.04800000,2.99793191000,0.89000000,,,,,6170.00,1.350000,1.210000,2016,"Transit","Kepler"
"Kepler-1045 b","Kepler-1045",942.48500000,26.41045478000,2.69000000,,,,,5301.00,0.820000,0.860000,2016,"Transit","Kepler"
"Kepler-697 b","Kepler-697",1277.33000000,3.70987064500,4.13000000,,,,,5513.00,0.880000,0.920000,2016,"Transit","Kepler"
"HD 93351 b","HD 93351",56.16300000,2.45946000000,,3.49611248,,0.549000,,,,0.940000,2022,"Radial Velocity","Multiple Observatories"
"K2-231 b","K2-231",321.21500000,13.84190100000,2.50000000,,,,88.60000,5695.00,0.950000,1.010000,2018,"Transit","K2"
"Kepler-175 c","Kepler-175",1312.34000000,34.03525700000,3.10000000,,,,,6064.00,1.010000,,2014,"Transit","Kepler"
"K2-46 b","K2-46",449.23700000,19.15410000000,2.05000000,,,,,6256.00,1.290000,0.960000,2016,"Transit","K2"
"K2-158 b","K2-158",197.29900000,10.06049000000,2.64000000,,794.00,,,5503.00,0.950000,0.920000,2018,"Transit","K2"
"Kepler-680 b","Kepler-680",1492.48000000,3.68992629100,2.42000000,,,,,5890.00,1.110000,1.080000,2016,"Transit","Kepler"
"Kepler-1620 b","Kepler-1620",895.06900000,101.95182900000,1.61000000,,,,,6157.00,1.230000,1.150000,2016,"Transit","Kepler"
"Kepler-1677 b","Kepler-1677",735.36900000,22.06400000000,2.70216183,,,,,6013.72,1.249590,1.110000,2020,"Transit","Kepler"
"NGC 2682 YBP 401 b","NGC 2682 YBP 401",830.82200000,4.08700000000,,146.20180000,,0.150000,,6165.00,,1.140000,2016,"Radial Velocity","La Silla Observatory"
"Kepler-1108 b","Kepler-1108",767.70100000,4.51005748000,1.46000000,,,,,5406.00,0.840000,0.880000,2016,"Transit","Kepler"
